Complaint ID,Product,Issue,Company,Company response,Timely response?,Consumer disputed?,Day received,Response time
1177839,Credit reporting,Unable to get credit report/credit score,Experian,Closed with non-monetary relief,1,0,1,0
1177844,Money transfers,Fraud or scam,PayPal,Closed with explanation,1,1,1,0
1177846,Credit reporting,Credit monitoring or identity protection,TransUnion,Closed with non-monetary relief,1,0,1,0
1177928,Consumer loan,Taking out the loan or lease,Santander Consumer USA,Closed with explanation,1,0,1,0
1177930,Mortgage,"Application, originator, mortgage broker",Wells Fargo,Closed with explanation,1,1,1,0
1177932,Credit card,Billing disputes,Bank of America,Closed with explanation,1,0,1,0
1177933,Bank account or service,Problems caused by my funds being low,TD Bank,Closed with monetary relief,1,0,1,0
1177937,Credit card,Billing disputes,Capital One,Closed with monetary relief,1,0,1,0
1177938,Debt collection,Cont'd attempts collect debt not owed,"United Accounts, Inc.",Untimely response,0,0,1,0
1177940,Credit card,Late fee,GE Capital Retail,Closed with explanation,1,0,1,6
1177941,Bank account or service,"Making/receiving payments, sending money",BB&T Financial,Closed with explanation,1,0,1,0
1177943,Bank account or service,"Making/receiving payments, sending money",PayPal,Closed with monetary relief,1,0,1,6
1177944,Debt collection,False statements or representation,"Landlord Rent Collections, LLC",Closed with explanation,1,0,1,6
1177946,Mortgage,"Loan modification,collection,foreclosure",Nationstar Mortgage,Closed with explanation,1,0,1,0
1177947,Bank account or service,Problems caused by my funds being low,RBS Citizens,Closed with monetary relief,1,0,1,0
1177948,Credit reporting,Incorrect information on credit report,Experian,Closed with non-monetary relief,1,0,1,0
1177949,Debt collection,Cont'd attempts collect debt not owed,GC Services Limited Partnership,Closed with explanation,1,1,1,6
1177950,Debt collection,Cont'd attempts collect debt not owed,Gila LLC,Closed with explanation,1,0,1,4
1177951,Debt collection,Cont'd attempts collect debt not owed,"Collection Service Center, Inc.",Closed with explanation,1,0,1,6
1177952,Credit reporting,Incorrect information on credit report,Experian,Closed with non-monetary relief,1,0,1,0
1177955,Debt collection,Improper contact or sharing of info,GE Capital Retail,Closed with non-monetary relief,1,0,1,0
1177961,Debt collection,Cont'd attempts collect debt not owed,Allied International Credit Corporation,Closed with non-monetary relief,1,0,1,0
1177963,Credit reporting,Incorrect information on credit report,Experian,Closed with explanation,1,0,1,0
1177964,Credit card,Other,"Continental Finance Company, LLC",Closed with explanation,0,0,1,6
1177965,Mortgage,"Application, originator, mortgage broker",Wells Fargo,Closed with explanation,1,0,1,0
1177967,Credit reporting,Unable to get credit report/credit score,Experian,Closed with non-monetary relief,1,0,1,6
1177968,Debt collection,False statements or representation,Encore Capital Group,Closed with explanation,1,0,1,0
1177969,Mortgage,"Loan servicing, payments, escrow account","Green Tree Servicing, LLC",Closed with explanation,1,0,1,0
1177970,Mortgage,"Application, originator, mortgage broker",LoanDepot,Closed with explanation,1,1,1,0
1177971,Credit reporting,Incorrect information on credit report,TransUnion,Closed with explanation,1,0,1,0
1177972,Credit reporting,Unable to get credit report/credit score,TransUnion,Closed with non-monetary relief,1,0,1,6
1177974,Debt collection,Cont'd attempts collect debt not owed,"PMAB, LLC",Closed with explanation,1,0,1,6
1177975,Consumer loan,Charged fees or interest I didn't expect,"Westlake Services, LLC",Closed with explanation,1,0,1,6
1177976,Debt collection,Cont'd attempts collect debt not owed,Encore Capital Group,Closed with explanation,1,1,1,0
1177977,Debt collection,Disclosure verification of debt,Patient Accounting Service Center,Closed with explanation,1,1,1,0
1177979,Bank account or service,"Making/receiving payments, sending money",M&T Bank,Closed,1,0,1,0
1177980,Debt collection,Communication tactics,"Convergent Resources, Inc.",Closed with explanation,1,0,1,0
1177981,Debt collection,Cont'd attempts collect debt not owed,Resurgent Capital Services L.P.,Closed with explanation,1,0,1,0
1177982,Debt collection,Cont'd attempts collect debt not owed,JPMorgan Chase,Closed with explanation,1,0,1,0
1177983,Debt collection,Communication tactics,Citibank,Closed with non-monetary relief,1,0,1,0
1177986,Bank account or service,Using a debit or ATM card,JPMorgan Chase,Closed with explanation,0,0,1,0
1177988,Bank account or service,Deposits and withdrawals,First Data Corporation,Closed with explanation,1,1,1,6
1177989,Bank account or service,"Account opening, closing, or management",Citibank,Closed with monetary relief,1,1,1,0
1177990,Debt collection,Cont'd attempts collect debt not owed,"EOS Holdings, Inc.",Closed with explanation,1,0,1,0
1177992,Bank account or service,Using a debit or ATM card,JPMorgan Chase,Closed with explanation,0,0,1,0
1177993,Credit reporting,Incorrect information on credit report,Experian,Closed with non-monetary relief,1,0,1,0
1177995,Student loan,Dealing with my lender or servicer,Wells Fargo,Closed with explanation,1,0,1,0
1177996,Student loan,Dealing with my lender or servicer,ACS Education Services,Closed with explanation,1,0,1,6
1177998,Credit card,Billing disputes,Amex,Closed with monetary relief,1,0,1,0
1177999,Mortgage,"Loan modification,collection,foreclosure",Nationstar Mortgage,Closed with explanation,1,0,1,0
1178002,Credit card,Late fee,TD Bank,Closed with monetary relief,1,0,1,0
1178003,Mortgage,Settlement process and costs,State Farm Bank,Closed with explanation,1,1,1,0
1178004,Debt collection,False statements or representation,Encore Capital Group,Closed with explanation,1,0,1,0
1178005,Debt collection,False statements or representation,Citibank,Closed with explanation,1,0,1,6
1178008,Debt collection,Cont'd attempts collect debt not owed,"Pinnacle Credit Services, LLC",Closed with explanation,1,1,1,0
1178009,Debt collection,False statements or representation,"Overton, Russell, Doerr and Donovan, LLP",Closed with explanation,1,1,1,0
1178011,Debt collection,Communication tactics,Citibank,Closed with explanation,1,0,1,6
1178013,Student loan,Dealing with my lender or servicer,Loan To Learn,Closed with explanation,1,0,1,0
1178014,Mortgage,"Loan modification,collection,foreclosure",Ocwen,Closed with explanation,1,0,1,0
1178015,Bank account or service,Deposits and withdrawals,PNC Bank,Closed with explanation,1,1,1,0
1178016,Bank account or service,"Making/receiving payments, sending money",BB&T Financial,Closed with explanation,1,0,1,0
1178017,Debt collection,Cont'd attempts collect debt not owed,Capital One,Closed with explanation,1,0,1,0
1178018,Student loan,Dealing with my lender or servicer,Transworld Systems Inc.,Closed with explanation,1,0,1,7
1178021,Mortgage,"Loan modification,collection,foreclosure",Ocwen,Closed with explanation,1,0,1,0
1178024,Debt collection,Cont'd attempts collect debt not owed,"Enhanced Recovery Company, LLC",Closed with non-monetary relief,1,0,1,0
1178027,Debt collection,False statements or representation,GE Capital Retail,Closed with monetary relief,1,0,1,6
1178032,Credit reporting,Unable to get credit report/credit score,Equifax,Closed with non-monetary relief,1,1,1,0
1178033,Bank account or service,Problems caused by my funds being low,SunTrust Bank,Closed with monetary relief,1,0,1,0
1178038,Credit reporting,Credit reporting company's investigation,Equifax,Closed with explanation,1,1,1,0
1178039,Credit reporting,Credit reporting company's investigation,Experian,Closed with explanation,1,1,1,6
1178044,Credit reporting,Incorrect information on credit report,"Early Warning Services, LLC",Closed with explanation,1,0,1,0
1178045,Credit reporting,Incorrect information on credit report,"FNIS (Fidelity National Information Services, Inc.)",Closed with explanation,1,0,1,0
1178047,Debt collection,Cont'd attempts collect debt not owed,First Data Corporation,Closed with explanation,1,0,1,6
1178048,Prepaid card,"Managing, opening, or closing account","NetSpend Corporation,  a TSYS Company",Closed with explanation,1,0,1,0
1178050,Credit card,Billing disputes,Capital One,Closed with explanation,1,0,1,0
1178051,Mortgage,"Loan modification,collection,foreclosure",Wells Fargo,Closed with non-monetary relief,1,0,1,0
1178052,Mortgage,"Loan modification,collection,foreclosure","PennyMac Loan Services, LLC",Closed with explanation,1,0,1,0
1178053,Credit card,Billing disputes,Capital One,Closed with explanation,1,0,1,0
1178054,Credit reporting,Incorrect information on credit report,Equifax,Closed with explanation,1,0,1,0
1178057,Student loan,Dealing with my lender or servicer,JPMorgan Chase,Closed with explanation,1,0,1,0
1178060,Mortgage,"Loan servicing, payments, escrow account",Franklin American Mortgage Company,Closed with explanation,1,0,1,0
1178061,Mortgage,"Loan servicing, payments, escrow account",Ocwen,Closed with monetary relief,1,1,1,0
1178062,Bank account or service,Using a debit or ATM card,Wells Fargo,Closed with explanation,1,1,1,0
1178063,Debt collection,Cont'd attempts collect debt not owed,"Cavalry Investments, LLC",Closed with non-monetary relief,1,0,1,0
1178064,Credit reporting,Incorrect information on credit report,TransUnion,Closed with explanation,1,0,1,0
1178065,Credit reporting,Incorrect information on credit report,Equifax,Closed with explanation,1,0,1,0
1178066,Credit reporting,Incorrect information on credit report,Experian,Closed with explanation,1,0,1,0
1178067,Mortgage,"Loan servicing, payments, escrow account",JPMorgan Chase,Closed,1,0,1,0
1178086,Credit card,Billing disputes,GE Capital Retail,Closed with monetary relief,1,0,1,0
1178088,Mortgage,"Loan modification,collection,foreclosure",Specialized Loan Servicing LLC,Closed with explanation,1,1,1,0
1178089,Debt collection,Disclosure verification of debt,"Cohen McNeile & Pappas, PC",Closed with explanation,1,1,1,7
1178103,Consumer loan,Problems when you are unable to pay,Wells Fargo,Closed with non-monetary relief,1,0,1,0
1178104,Student loan,Dealing with my lender or servicer,Navient,Closed with explanation,1,0,1,0
1178106,Credit reporting,Incorrect information on credit report,TransUnion,Closed with non-monetary relief,1,0,2,0
1178107,Credit reporting,Incorrect information on credit report,Experian,Closed with non-monetary relief,1,0,2,0
1178109,Credit reporting,Unable to get credit report/credit score,Experian,Closed with non-monetary relief,1,0,2,0
1178112,Mortgage,"Loan servicing, payments, escrow account",Seterus,Closed with explanation,1,1,2,0
1178114,Mortgage,"Loan modification,collection,foreclosure",Wells Fargo,Closed with explanation,1,0,2,5
1178118,Debt collection,Communication tactics,Amex,Closed with explanation,1,0,2,5
1178119,Credit card,Identity theft / Fraud / Embezzlement,Discover,Closed with explanation,1,0,2,6
1178120,Payday loan,Payment to acct not credited,Sands Recovery Group,Untimely response,0,0,2,6
1178121,Payday loan,Payment to acct not credited,"United Debt Holdings, LLC",Closed with monetary relief,0,0,2,6
1178122,Consumer loan,Managing the loan or lease,Santander Consumer USA,Closed with explanation,1,0,2,4
1178124,Bank account or service,Deposits and withdrawals,Navy FCU,Closed with explanation,1,1,2,0
1178130,Student loan,Dealing with my lender or servicer,Heartland Payment Systems,Closed with explanation,1,1,2,0
1178135,Mortgage,"Loan modification,collection,foreclosure",U.S. Bancorp,Closed with explanation,1,1,2,0
1178139,Bank account or service,Using a debit or ATM card,TD Bank,Closed with explanation,1,1,2,5
1178142,Credit reporting,Incorrect information on credit report,Experian,Closed with explanation,1,0,2,10
1178143,Credit reporting,Incorrect information on credit report,TransUnion,Closed with explanation,1,1,2,10
1178144,Credit reporting,Incorrect information on credit report,Equifax,Closed with explanation,1,0,2,10
1178149,Student loan,Dealing with my lender or servicer,Navient,Closed with monetary relief,1,0,1,1
1178150,Credit reporting,Incorrect information on credit report,Equifax,Closed with explanation,1,1,1,6
1178151,Credit card,Unsolicited issuance of credit card,Citibank,Closed with non-monetary relief,1,0,1,1
1178152,Credit card,Unsolicited issuance of credit card,Citibank,Closed with non-monetary relief,1,0,1,1
1178153,Credit reporting,Incorrect information on credit report,Experian,Closed with non-monetary relief,1,0,1,1
1178154,Credit reporting,Incorrect information on credit report,Experian,Closed with explanation,1,0,1,1
1178155,Debt collection,Cont'd attempts collect debt not owed,"Enhanced Acquisitions, LLC",Closed with explanation,1,0,1,1
1178156,Credit card,Billing disputes,Barclays,Closed with monetary relief,1,0,1,6
1178158,Student loan,Dealing with my lender or servicer,Navient,Closed with explanation,1,0,1,1
1178159,Mortgage,"Application, originator, mortgage broker",Wells Fargo,Closed with explanation,1,0,1,1
1178160,Prepaid card,Unauthorized transactions/trans. issues,Amex,Closed with monetary relief,1,0,1,1
1178163,Mortgage,"Loan modification,collection,foreclosure",Nationstar Mortgage,Closed with explanation,1,0,1,1
1178166,Student loan,Dealing with my lender or servicer,Navient,Closed with explanation,1,0,1,1
1178167,Credit card,Billing disputes,Bank of America,Closed with explanation,1,0,1,8
1178168,Consumer loan,Problems when you are unable to pay,"Risecredit, LLC",Closed with explanation,1,1,1,6
1178169,Credit reporting,Incorrect information on credit report,Experian,Closed with explanation,1,0,1,6
1178170,Credit card,Delinquent account,JPMorgan Chase,Closed with explanation,1,0,1,1
1178172,Credit card,Other,GE Capital Retail,Closed with explanation,1,1,1,40
1178173,Credit reporting,Improper use of my credit report,TransUnion,Closed with explanation,1,1,1,1
1178174,Credit reporting,Credit reporting company's investigation,Equifax,Closed with explanation,1,1,1,1
1178175,Credit card,Late fee,GE Capital Retail,Closed with monetary relief,1,0,1,6
1178176,Debt collection,Disclosure verification of debt,Transworld Systems Inc.,Closed with explanation,1,0,1,5
1178177,Credit reporting,Improper use of my credit report,Experian,Closed with explanation,1,0,1,6
1178178,Consumer loan,Problems when you are unable to pay,"CashCall, Inc.",Closed with explanation,1,0,1,6
1178179,Credit card,Late fee,U.S. Bancorp,Closed with monetary relief,1,0,1,1
1178180,Money transfers,Other transaction issues,PayPal,Closed with explanation,1,1,1,1
1178181,Payday loan,Can't stop charges to bank account,Moneytree Inc,Closed with explanation,1,0,1,6
1178182,Mortgage,"Loan servicing, payments, escrow account",Regions,Closed with non-monetary relief,1,0,1,1
1178183,Consumer loan,Taking out the loan or lease,DriveTime,Closed with explanation,1,0,1,6
1178184,Debt collection,Cont'd attempts collect debt not owed,"Enhanced Recovery Company, LLC",Closed with non-monetary relief,1,0,1,1
1178185,Credit card,Late fee,Amex,Closed with monetary relief,1,0,2,0
1178187,Debt collection,Communication tactics,"CMRE Financial Services, Inc.",Closed with explanation,1,0,2,5
1178189,Debt collection,False statements or representation,Encore Capital Group,Closed with explanation,1,0,2,0
1178194,Debt collection,Cont'd attempts collect debt not owed,"Green Tree Servicing, LLC",Closed with explanation,1,1,2,0
1178195,Consumer loan,Taking out the loan or lease,"Prestige Financial Services, Inc.",Closed with explanation,1,0,2,5
1178197,Mortgage,"Loan modification,collection,foreclosure",21st Mortgage Corporation,Closed with explanation,1,0,2,0
1178198,Credit reporting,Incorrect information on credit report,TransUnion,Closed with explanation,1,0,2,0
1178200,Credit card,Advertising and marketing,Sterling Jewelers Inc.,Closed with non-monetary relief,1,0,2,0
1178201,Mortgage,"Loan modification,collection,foreclosure",JPMorgan Chase,Closed with explanation,1,0,2,0
1178204,Credit reporting,Unable to get credit report/credit score,Experian,Closed with non-monetary relief,1,0,2,0
1178205,Debt collection,Cont'd attempts collect debt not owed,"Hunter Warfield, Inc.",Closed with explanation,0,0,2,0
1178206,Credit card,Payoff process,GE Capital Retail,Closed with monetary relief,1,0,2,0
1178210,Debt collection,Cont'd attempts collect debt not owed,Carrington Mortgage,Closed with explanation,1,0,2,0
1178211,Student loan,Can't repay my loan,Navient,Closed with explanation,1,0,2,0
1178217,Student loan,Dealing with my lender or servicer,"CL Holdings, LLC",Closed with explanation,1,0,2,10
1178224,Mortgage,"Loan modification,collection,foreclosure","PennyMac Loan Services, LLC",Closed with explanation,1,0,2,0
1178228,Debt collection,Cont'd attempts collect debt not owed,RMP Group Inc.,Closed with explanation,1,1,2,0
1178238,Bank account or service,Deposits and withdrawals,Wells Fargo,Closed with explanation,1,0,2,5
1178240,Debt collection,Communication tactics,Citibank,Closed with explanation,1,1,2,5
1178242,Debt collection,Cont'd attempts collect debt not owed,"National Credit Systems,Inc.",Closed with explanation,1,0,2,0
1178257,Money transfers,Other transaction issues,Western Union,Closed with explanation,1,0,2,5
1178270,Credit card,Credit card protection / Debt protection,Capital One,Closed with explanation,1,0,2,5
1178272,Bank account or service,Deposits and withdrawals,BOK Financial Corp,Closed with explanation,1,0,2,5
1178275,Debt collection,Cont'd attempts collect debt not owed,"Diversified Consultants, Inc.",Closed with explanation,1,0,2,0
1178276,Debt collection,False statements or representation,"Debt Recovery Solutions, LLC",Closed with explanation,1,0,2,0
1178277,Mortgage,"Loan modification,collection,foreclosure","Select Portfolio Servicing, Inc",Closed with explanation,1,0,2,0
1178279,Credit reporting,Credit reporting company's investigation,Experian,Closed with non-monetary relief,1,1,2,0
1178280,Debt collection,Cont'd attempts collect debt not owed,Focus Holding Company,Closed with explanation,1,0,2,6
1178285,Mortgage,"Loan modification,collection,foreclosure",Bank of America,Closed with explanation,1,0,2,0
1178287,Credit reporting,Incorrect information on credit report,TransUnion,Closed with non-monetary relief,1,0,2,0
1178288,Bank account or service,"Account opening, closing, or management",Wells Fargo,Closed with explanation,1,0,2,6
1178289,Credit card,Other fee,First Data Corporation,Closed with explanation,1,0,2,6
1178294,Debt collection,Improper contact or sharing of info,"Miller and Steeno, P.C.",Closed with explanation,1,1,2,0
1178295,Debt collection,Improper contact or sharing of info,"CL Holdings, LLC",Closed with monetary relief,1,0,2,0
1178296,Bank account or service,Deposits and withdrawals,Fifth Third Bank,Closed with explanation,1,0,2,5
1178297,Bank account or service,Deposits and withdrawals,Bank of America,Closed with explanation,1,1,2,0
1178298,Debt collection,Cont'd attempts collect debt not owed,"Vengroff Williams, Inc",Closed with explanation,1,1,2,6
1178300,Debt collection,Communication tactics,Citibank,Closed with non-monetary relief,1,0,2,18
1178301,Credit card,Other,Amex,Closed with non-monetary relief,1,0,2,0
1178305,Student loan,Can't repay my loan,Genesis Lending,Closed with explanation,1,0,2,0
1178307,Debt collection,Cont'd attempts collect debt not owed,United Student Aid (USA) Funds,Closed,1,0,2,6
1178308,Debt collection,Cont'd attempts collect debt not owed,"Franklin Collection Service, Inc.",Closed with explanation,1,0,2,0
1178310,Bank account or service,Deposits and withdrawals,JPMorgan Chase,Closed with explanation,1,0,2,5
1178319,Bank account or service,Deposits and withdrawals,Bank of America,Closed with monetary relief,1,0,2,3
1178338,Bank account or service,"Account opening, closing, or management",Bank of America,Closed with non-monetary relief,1,0,2,3
1178342,Bank account or service,Using a debit or ATM card,JPMorgan Chase,Closed with explanation,1,1,2,3
1178346,Mortgage,"Loan modification,collection,foreclosure","PennyMac Loan Services, LLC",Closed with explanation,1,1,2,0
1178347,Mortgage,"Loan modification,collection,foreclosure",Wells Fargo,Closed with explanation,1,1,2,0
1178351,Credit card,Credit determination,Citibank,Closed with non-monetary relief,1,0,2,0
1178353,Bank account or service,Using a debit or ATM card,TransUnion,Closed with monetary relief,1,0,2,3
1178357,Bank account or service,"Making/receiving payments, sending money",Fifth Third Bank,Closed with explanation,1,0,2,5
1178358,Debt collection,Disclosure verification of debt,"Aargon Agency, Inc.",Closed,1,0,2,0
1178364,Mortgage,"Loan servicing, payments, escrow account",New York Community Bank,Closed with explanation,1,0,2,0
1178366,Payday loan,Charged fees or interest I didn't expect,Speedy Cash Holdings,Closed with explanation,1,0,2,5
1178367,Debt collection,Cont'd attempts collect debt not owed,"Northland Group, Inc.",Closed with non-monetary relief,1,0,2,0
1178368,Debt collection,Cont'd attempts collect debt not owed,"Enhanced Recovery Company, LLC",Closed with non-monetary relief,1,1,2,0
1178370,Bank account or service,"Account opening, closing, or management",Regions,Closed with explanation,1,0,2,3
1178378,Mortgage,"Loan modification,collection,foreclosure","Fidelity National Financial, Inc",Closed with explanation,1,0,2,6
1178380,Mortgage,"Loan modification,collection,foreclosure",Nationstar Mortgage,Closed with explanation,1,0,2,6
1178381,Mortgage,"Loan modification,collection,foreclosure",Citibank,Closed with explanation,1,0,2,6
1178386,Debt collection,Cont'd attempts collect debt not owed,"Diversified Consultants, Inc.",Closed with explanation,1,0,2,5
1178388,Debt collection,Cont'd attempts collect debt not owed,"Aargon Agency, Inc.",Closed,0,1,2,6
1178394,Debt collection,Communication tactics,Encore Capital Group,Closed with non-monetary relief,1,0,2,0
1178395,Debt collection,Communication tactics,Citibank,Closed with explanation,1,0,2,0
1178402,Bank account or service,"Account opening, closing, or management","Enhanced Recovery Company, LLC",Closed with non-monetary relief,1,0,2,5
1178403,Credit reporting,Incorrect information on credit report,Equifax,Closed with explanation,1,0,2,6
1178404,Credit reporting,Incorrect information on credit report,TransUnion,Closed with explanation,1,0,2,6
1178405,Credit reporting,Incorrect information on credit report,TransUnion,Closed with explanation,1,0,2,6
1178407,Credit reporting,Incorrect information on credit report,Experian,Closed with non-monetary relief,1,0,2,6
1178410,Credit reporting,Incorrect information on credit report,TransUnion,Closed with explanation,1,0,2,0
1178413,Debt collection,Cont'd attempts collect debt not owed,Solidus Group LLC.,Closed with explanation,1,1,2,3
1178419,Credit reporting,Incorrect information on credit report,TransUnion,Closed with explanation,1,0,2,0
1178428,Bank account or service,"Account opening, closing, or management",JPMorgan Chase,Closed with explanation,1,0,2,4
1178429,Credit reporting,Credit monitoring or identity protection,Experian,Closed with explanation,1,0,2,0
1178438,Debt collection,Disclosure verification of debt,"Coast Professional, Inc.",Closed with explanation,1,1,2,0
1178441,Bank account or service,"Account opening, closing, or management",Wells Fargo,Closed with explanation,1,1,2,5
1178442,Bank account or service,"Making/receiving payments, sending money",M&T Bank,Closed with explanation,1,0,2,4
1178443,Debt collection,Cont'd attempts collect debt not owed,"Commonwealth Financial Systems, Inc.",Closed with explanation,1,0,2,0
1178449,Credit card,Other,Wells Fargo,Closed with explanation,1,0,2,0
1178453,Bank account or service,"Account opening, closing, or management","Equity National Title and Closing Services, Inc.",Untimely response,0,0,2,5
1178462,Student loan,Dealing with my lender or servicer,Navient,Closed with explanation,1,0,2,0
1178466,Mortgage,"Loan modification,collection,foreclosure",Wells Fargo,Closed with monetary relief,1,0,2,0
1178472,Debt collection,Cont'd attempts collect debt not owed,"Medical Data Systems, Inc.",Closed with explanation,1,0,2,3
1178476,Bank account or service,Deposits and withdrawals,Wells Fargo,Closed with explanation,1,0,2,5
1178479,Mortgage,"Application, originator, mortgage broker",JPMorgan Chase,Closed with explanation,1,0,2,6
1178486,Debt collection,Cont'd attempts collect debt not owed,"Commonwealth Financial Systems, Inc.",Closed with explanation,1,0,2,0
1178495,Bank account or service,Problems caused by my funds being low,Bank of America,Closed with monetary relief,1,0,2,0
1178503,Bank account or service,"Account opening, closing, or management",PACIFIC WESTERN BANK,Untimely response,0,0,2,6
1178509,Bank account or service,"Account opening, closing, or management",Wells Fargo,Closed with explanation,1,0,2,0
1178510,Bank account or service,"Account opening, closing, or management",Wells Fargo,Closed with monetary relief,1,0,2,5
1178512,Mortgage,"Loan modification,collection,foreclosure","Green Tree Servicing, LLC",Closed with explanation,1,0,2,5
1178513,Debt collection,Cont'd attempts collect debt not owed,Allied Interstate LLC,Closed with non-monetary relief,1,1,2,0
1178515,Credit reporting,Incorrect information on credit report,Experian,Closed with non-monetary relief,1,0,2,0
1178518,Credit card,Rewards,JPMorgan Chase,Closed with explanation,1,1,2,0
1178519,Credit card,Billing disputes,GE Capital Retail,Closed with monetary relief,1,0,2,6
1178520,Bank account or service,Problems caused by my funds being low,Discover,Closed with explanation,1,1,2,6
1178521,Mortgage,"Loan modification,collection,foreclosure",Ocwen,Closed with explanation,1,0,2,6
1178522,Mortgage,"Loan modification,collection,foreclosure",Bank of America,Closed with explanation,1,0,2,6
1178523,Credit card,Billing disputes,Castle Credit Corp,Closed with explanation,1,0,2,6
1178524,Mortgage,"Loan modification,collection,foreclosure",Wells Fargo,Closed with explanation,1,0,2,6
1178525,Mortgage,"Loan modification,collection,foreclosure",JPMorgan Chase,Closed with explanation,1,0,2,6
1178527,Credit card,Billing disputes,GE Capital Retail,Closed with explanation,1,0,2,6
1178528,Debt collection,False statements or representation,Transworld Systems Inc.,Closed with explanation,1,0,2,6
1178531,Debt collection,Cont'd attempts collect debt not owed,"Herbert P. Sears Co., Inc.",Closed with explanation,1,0,2,0
1178538,Debt collection,Cont'd attempts collect debt not owed,Allied Interstate LLC,Closed with non-monetary relief,1,0,2,0
1178547,Mortgage,Settlement process and costs,"Caliber Home Loans, Inc",Closed with explanation,1,0,2,0
1178554,Mortgage,"Loan modification,collection,foreclosure",Bank of America,Closed with explanation,1,0,2,0
1178555,Mortgage,"Loan modification,collection,foreclosure",JPMorgan Chase,Closed with explanation,1,0,2,0
1178557,Bank account or service,Deposits and withdrawals,Bank of America,Closed with non-monetary relief,1,0,2,0
1178558,Mortgage,"Loan modification,collection,foreclosure",U.S. Bancorp,Closed with explanation,1,0,2,5
1178559,Prepaid card,"Managing, opening, or closing account",TD Bank,Closed with explanation,1,1,2,6
1178562,Consumer loan,Managing the loan or lease,Discover,Closed with non-monetary relief,1,0,2,4
1178566,Mortgage,"Loan servicing, payments, escrow account",JPMorgan Chase,Closed with explanation,1,0,2,0
1178569,Credit card,Billing disputes,Capital One,Closed with explanation,1,0,2,6
1178571,Mortgage,Other,Carrington Mortgage,Closed with explanation,1,0,2,5
1178572,Mortgage,"Application, originator, mortgage broker",Nationstar Mortgage,Closed with explanation,1,0,2,0
1178573,Mortgage,"Loan servicing, payments, escrow account","Shellpoint Partners, LLC",Closed with explanation,1,0,2,6
1178575,Mortgage,"Loan modification,collection,foreclosure",Citibank,Closed with explanation,1,0,2,0
1178590,Mortgage,"Loan modification,collection,foreclosure",Nationstar Mortgage,Closed with explanation,1,0,2,5
1178599,Debt collection,False statements or representation,Westgate Arbitration INC,Closed with explanation,1,0,2,4
1178603,Consumer loan,Charged fees or interest I didn't expect,Springleaf Finance Corporation,Closed with explanation,1,0,2,3
1178604,Mortgage,"Loan servicing, payments, escrow account",SunTrust Bank,Closed with explanation,1,1,2,0
1178619,Mortgage,"Loan modification,collection,foreclosure",Flagstar Bank,Closed with explanation,1,0,2,5
1178621,Student loan,Can't repay my loan,Navient,Closed with explanation,1,0,2,0
1178631,Bank account or service,Problems caused by my funds being low,Bank of America,Closed with monetary relief,1,0,2,3
1178635,Student loan,Dealing with my lender or servicer,KeyBank NA,Closed with explanation,1,1,2,6
1178636,Student loan,Can't repay my loan,Nelnet,Closed with explanation,1,0,2,11
1178638,Credit card,Identity theft / Fraud / Embezzlement,Amex,Closed with explanation,1,0,2,10
1178639,Credit reporting,Improper use of my credit report,TransUnion,Closed with non-monetary relief,1,0,2,0
1178644,Credit card,Other fee,Discover,Closed with monetary relief,1,0,2,0
1178645,Student loan,Dealing with my lender or servicer,USCB Corporation,Closed with explanation,1,0,2,6
1178651,Debt collection,False statements or representation,"Valarity, LLC",Closed with explanation,1,1,2,6
1178653,Credit card,Customer service / Customer relations,Citibank,Closed with non-monetary relief,1,0,2,6
1178654,Money transfers,Fraud or scam,PayPal,Closed with explanation,1,0,2,6
1178659,Debt collection,Cont'd attempts collect debt not owed,"The CMI Group, Inc.",Closed with non-monetary relief,1,0,2,6
1178663,Debt collection,Cont'd attempts collect debt not owed,"Eastern Account Systems of Connecticut, Inc.",Closed with explanation,1,0,2,0
1178667,Credit reporting,Incorrect information on credit report,Equifax,Closed with non-monetary relief,1,0,2,0
1178668,Debt collection,Communication tactics,USAA Savings,Closed with explanation,1,0,2,6
1178672,Debt collection,Cont'd attempts collect debt not owed,"Enhanced Recovery Company, LLC",Closed with explanation,1,0,2,0
1178678,Debt collection,Communication tactics,Citibank,Closed with explanation,1,0,2,0
1178679,Bank account or service,Using a debit or ATM card,Wells Fargo,Closed with explanation,1,1,2,6
1178682,Bank account or service,"Account opening, closing, or management",PNC Bank,Closed with monetary relief,1,0,2,3
1178685,Credit card,Closing/Cancelling account,USAA Savings,Closed with monetary relief,1,0,2,6
1178688,Mortgage,"Loan servicing, payments, escrow account",Wells Fargo,Closed with explanation,1,0,2,5
1178690,Bank account or service,"Making/receiving payments, sending money",First Data Corporation,Closed with explanation,1,0,2,6
1178692,Mortgage,"Loan modification,collection,foreclosure","Green Tree Servicing, LLC",Closed with explanation,1,1,2,0
1178693,Mortgage,"Loan servicing, payments, escrow account",Nationstar Mortgage,Closed with explanation,1,1,2,0
1178695,Student loan,Can't repay my loan,Navient,Closed with monetary relief,1,0,2,0
1178698,Credit reporting,Incorrect information on credit report,TransUnion,Closed with non-monetary relief,1,0,2,0
1178701,Mortgage,"Loan modification,collection,foreclosure",Flagstar Bank,Closed with explanation,1,0,2,6
1178702,Bank account or service,"Account opening, closing, or management",Santander Bank US,Closed,1,1,2,3
