Complaint ID,Product,Issue,Company,Company response,Timely response?,Consumer disputed?,Day received,Response time
1236314,Bank account or service,"Account opening, closing, or management",PNC Bank,Closed with explanation,1,0,42,7
1236319,Debt collection,Cont'd attempts collect debt not owed,"Enhanced Recovery Company, LLC",Closed with non-monetary relief,1,0,42,0
1236322,Credit card,Closing/Cancelling account,Discover,Closed with explanation,1,0,42,0
1236324,Mortgage,"Loan servicing, payments, escrow account",RBS Citizens,Closed with explanation,1,0,42,0
1236326,Bank account or service,"Account opening, closing, or management",Morgan Stanley,Closed with explanation,1,0,42,0
1236329,Student loan,Dealing with my lender or servicer,"SIMM Associates, Inc.",Closed with explanation,1,0,42,7
1236330,Money transfers,Other transaction issues,Wells Fargo,Closed with explanation,1,1,42,0
1236331,Bank account or service,Problems caused by my funds being low,SunTrust Bank,Closed with explanation,1,0,42,7
1236355,Debt collection,Cont'd attempts collect debt not owed,"CMRE Financial Services, Inc.",In progress,1,0,42,0
1236359,Student loan,Dealing with my lender or servicer,Navient,Closed with explanation,1,0,42,7
1236368,Credit reporting,Incorrect information on credit report,Experian,Closed with explanation,1,0,42,0
1236369,Credit reporting,Incorrect information on credit report,Equifax,Closed with non-monetary relief,1,0,42,0
1236370,Credit reporting,Incorrect information on credit report,TransUnion,Closed with non-monetary relief,1,0,42,0
1236372,Consumer loan,Problems when you are unable to pay,Worth Finance Corporation,Closed with explanation,1,0,42,20
1236380,Credit card,Billing disputes,GE Capital Retail,Closed with explanation,1,0,42,8
1236387,Debt collection,Disclosure verification of debt,Resurgent Capital Services L.P.,Closed with explanation,1,1,42,0
1236389,Debt collection,Communication tactics,United Recovery Solutions,Untimely response,0,0,42,7
1236404,Mortgage,"Loan modification,collection,foreclosure",Citibank,Closed with explanation,1,0,42,7
1236405,Bank account or service,Using a debit or ATM card,SunTrust Bank,Closed with explanation,1,0,42,1
1236408,Mortgage,"Loan servicing, payments, escrow account","Select Portfolio Servicing, Inc",Closed with explanation,1,0,42,1
1236415,Credit reporting,Unable to get credit report/credit score,Experian,Closed with explanation,1,0,42,0
1236419,Debt collection,Disclosure verification of debt,Transworld Systems Inc.,In progress,1,0,42,1
1236424,Debt collection,Disclosure verification of debt,AllianceOne Recievables Management,Closed with explanation,1,0,42,0
1236432,Credit reporting,Incorrect information on credit report,Experian,Closed with non-monetary relief,1,0,42,0
1236439,Consumer loan,Problems when you are unable to pay,Midway Resolution Services LLC,Closed with explanation,1,1,42,0
1236440,Mortgage,"Loan modification,collection,foreclosure",JPMorgan Chase,Closed with explanation,1,1,42,7
1236444,Credit card,Billing statement,GE Capital Retail,Closed with explanation,1,0,42,7
1236449,Mortgage,"Loan servicing, payments, escrow account",Specialized Loan Servicing LLC,In progress,1,0,42,7
1236450,Credit reporting,Incorrect information on credit report,TransUnion,In progress,1,0,42,12
1236453,Mortgage,"Loan modification,collection,foreclosure",Bank of America,Closed with explanation,1,0,42,0
1236459,Bank account or service,Deposits and withdrawals,Nationstar Mortgage,Closed with explanation,1,0,42,7
1236461,Credit reporting,Incorrect information on credit report,TransUnion,Closed with explanation,1,0,42,23
1236463,Payday loan,Received a loan I didn't apply for,Solidus Group LLC.,Closed with explanation,1,1,42,9
1236474,Mortgage,"Loan modification,collection,foreclosure",Bank of America,Closed with monetary relief,1,0,42,7
1236475,Mortgage,"Loan modification,collection,foreclosure",Nationstar Mortgage,Closed with explanation,1,0,42,0
1236482,Bank account or service,"Account opening, closing, or management",SunTrust Bank,In progress,1,0,42,7
1236483,Mortgage,"Application, originator, mortgage broker",Wells Fargo,Closed with explanation,1,0,42,0
1236484,Bank account or service,Deposits and withdrawals,M&T Bank,Closed with explanation,1,0,42,7
1236485,Credit reporting,Incorrect information on credit report,Experian,In progress,1,0,42,9
1236488,Mortgage,Settlement process and costs,Nationstar Mortgage,In progress,1,0,42,0
1236493,Credit card,Arbitration,Discover,Closed with explanation,1,1,42,0
1236494,Debt collection,False statements or representation,"Halsted Financial Services, LLC.",Closed with explanation,1,0,42,12
1236497,Debt collection,Cont'd attempts collect debt not owed,Encore Capital Group,Closed with explanation,1,0,42,0
1236505,Credit card,Closing/Cancelling account,Discover,Closed with explanation,1,0,42,0
1236509,Credit reporting,Incorrect information on credit report,TransUnion,Closed with explanation,1,0,42,0
1236510,Debt collection,Cont'd attempts collect debt not owed,"Hunter Warfield, Inc.",In progress,0,0,42,1
1236515,Credit card,Other,Wells Fargo,Closed with monetary relief,1,0,42,7
