Complaint ID,Product,Sub-product,Issue,Sub-issue,State,ZIP code,Company,Company response,Timely response?,Consumer disputed?,Delivery Time
1202869,Debt collection,"Other (phone, health club, etc.)",Disclosure verification of debt,Not given enough info to verify debt,IL,60520,Greentree & Associates,Closed with explanation,Yes,,29
1202479,Credit reporting,,Incorrect information on credit report,Account terms,TX,78701,TransUnion,Closed with explanation,Yes,,0
1202472,Debt collection,,Disclosure verification of debt,Not given enough info to verify debt,TX,78130,West Corporation,In progress,Yes,,5
1202850,Mortgage,Other mortgage,"Loan modification,collection,foreclosure",,CA,94123,Bank of America,Closed with explanation,Yes,,2
1202482,Mortgage,Other mortgage,"Loan servicing, payments, escrow account",,MA,1844,Ocwen,Closed with explanation,Yes,,0
1203552,Credit reporting,,Improper use of my credit report,Report improperly shared by CRC,TX,77568,Equifax,Closed with explanation,Yes,,1
1203472,Debt collection,,Disclosure verification of debt,Not given enough info to verify debt,TN,38141,Revenue Assurance Professionals LLC,Closed with explanation,Yes,,35
1203441,Money transfers,International money transfer,Money was not available when promised,,FL,33436,Bank of America,Closed with monetary relief,Yes,,0
1203437,Mortgage,Conventional fixed mortgage,"Loan servicing, payments, escrow account",,OH,44143,Carrington Mortgage,Closed with explanation,Yes,Yes,0
1203476,Credit card,,Transaction issue,,DC,20002,U.S. Bancorp,Closed with explanation,Yes,,1
1203446,Mortgage,Other mortgage,"Loan servicing, payments, escrow account",,AL,35111,JPMorgan Chase,Closed with explanation,Yes,,0
1203442,Bank account or service,Checking account,Deposits and withdrawals,,CT,6082,Bank of America,Closed with monetary relief,Yes,,0
1203471,Debt collection,,Cont'd attempts collect debt not owed,Debt is not mine,TN,38141,Resurgent Capital Services L.P.,In progress,Yes,,1
1203469,Debt collection,,Cont'd attempts collect debt not owed,Debt is not mine,TN,38141,Tenet HealthCare Corporation,Closed with explanation,Yes,,1
1203452,Debt collection,,Improper contact or sharing of info,Contacted me after I asked not to,OH,43123,"I.C. System, Inc.",Closed with explanation,Yes,,6
1203551,Consumer loan,Vehicle loan,Problems when you are unable to pay,,NC,28054,Santander Consumer USA,Closed with explanation,Yes,,1
1203527,Credit reporting,,Unable to get credit report/credit score,Problem getting report or credit score,IL,60154,Experian,Closed with explanation,Yes,,1
1203491,Debt collection,,Communication tactics,Frequent or repeated calls,AL,76549,Encore Capital Group,Closed with explanation,Yes,,1
1203484,Debt collection,,Communication tactics,Threatened to take legal action,MS,38635,Revenue Recovery Corporation,Closed with explanation,Yes,,1
1203489,Debt collection,,Disclosure verification of debt,Not given enough info to verify debt,AL,76549,"Credit Protection Association, L.P.",Closed with non-monetary relief,Yes,,1
